Account Username,Account Password,Account Contact First Name,Account Contact Last Name,Account Contact Company,Account Contact Address,Account Contact Address2,Account Contact Country,Account Contact State,Account Contact City,Account Contact Postal Code,Account Contact Phone,Account Contact Fax,Account Contact Email,Account Contact URL,Legacy ID,Listing ID,Listing Title,Listing Email,Listing URL,Listing Address,Listing Address2,Listing Country,Listing Country Abbreviation,Listing Region,Listing Region Abbreviation,Listing State,Listing State Abbreviation,Listing City,Listing City Abbreviation,Listing Neighborhood,Listing Neighborhood Abbreviation,Listing Postal Code,Listing Phone,Listing Fax,Listing Short Description,Listing Long Description,Listing Keywords,Updated Date,Listing Renewal Date,Listing Status,Listing Level,Listing Category 1,Listing Category 2,Listing Category 3,Listing Category 4,Listing Category 5,Listing Template
,,,,,,,,,,,,,,,,10,SUBWAY,,http://www.subway.com/,5745 N Martin Luther King Ave,,United States,USA,,,,,,,,,73111,(405) 604-9890,,,,Oklahoma || Remmington Park || Restaurants || Food,, 04/01/2013,active,silver,OK -> TRAVEL -> Restaurants,OK -> Remmington Park -> Restaurants,,,,
,,,,,,,,,,,,,,,,19,Sleepy Hollow,,http://www.yellowpages.com/oklahoma-city-ok/mip/sleepy-hollow-468324111?lid=468324111,1101 NE 50th St,,United States,USA,,,,,,,,,73111,(405) 424-1614,,,,Oklahoma || Remmington Park || Restaurants || Food,, 04/01/2013,active,silver,OK -> TRAVEL -> Restaurants,OK -> Remmington Park -> Restaurants,,,,
,,,,,,,,,,,,,,,,20,SUBWAY,,http://www.subway.com/,6301 N Kelley Ave,,United States,USA,,,,,,,,,73111,(405) 843-1148,,,,Oklahoma || Remmington Park || Restaurants || Food,, 04/01/2013,active,silver,OK -> TRAVEL -> Restaurants,OK -> Remmington Park -> Restaurants,,,,
,,,,,,,,,,,,,,,,21,44 Diner,,http://www.yellowpages.com/oklahoma-city-ok/mip/44-diner-461872754?lid=461872754,1000 NE 63rd St,,United States,USA,,,,,,,,,73111,(405) 475-0299,,,,Oklahoma || Remmington Park || Restaurants || Food,, 04/01/2013,active,silver,OK -> TRAVEL -> Restaurants,OK -> Remmington Park -> Restaurants,,,,
,,,,,,,,,,,,,,,,22,Pearls Oyster Bar,,http://www.yellowpages.com/oklahoma-city-ok/mip/pearls-oyster-bar-468568641?lid=468568641,928 NE 63rd St,,United States,USA,,,,,,,,,73105,(405) 848-8008,,,,Oklahoma || Remmington Park || Restaurants || Food,, 04/01/2013,active,silver,OK -> TRAVEL -> Restaurants,OK -> Remmington Park -> Restaurants,,,,
,,,,,,,,,,,,,,,,23,Mama E\'s Wings & Waffles,,http://www.yellowpages.com/oklahoma-city-ok/mip/mama-es-wings-waffles-16599708?lid=16599708,3838 Springlake Dr,,United States,USA,,,,,,,,,73111,(405) 424-0800,,,,Oklahoma || Remmington Park || Restaurants || Food,, 04/01/2013,active,silver,OK -> TRAVEL -> Restaurants,OK -> Remmington Park -> Restaurants,,,,
,,,,,,,,,,,,,,,,24,Wallace Restaurant,,http://www.yellowpages.com/oklahoma-city-ok/mip/wallace-restaurant-22838632?lid=22838632,3815 N Kelley Ave,,United States,USA,,,,,,,,,73111,(405) 601-6886,,,,Oklahoma || Remmington Park || Restaurants || Food,, 04/01/2013,active,silver,OK -> TRAVEL -> Restaurants,OK -> Remmington Park -> Restaurants,,,,
,,,,,,,,,,,,,,,,25,Ice Events Center & Grill,,http://www.yellowpages.com/oklahoma-city-ok/mip/ice-events-center-grill-456878150?lid=456878150,1148 NE 36th St,,United States,USA,,,,,,,,,73111,(405) 208-4240,,,,Oklahoma || Remmington Park || Restaurants || Food,, 04/01/2013,active,silver,OK -> TRAVEL -> Restaurants,OK -> Remmington Park -> Restaurants,,,,
,,,,,,,,,,,,,,,,26,Pioneer Pies Restaurant & Bakery,,http://pioneerpies.com,820 NE 63rd St,,United States,USA,,,,,,,,,73105,(405) 843-9685,,,,Oklahoma || Remmington Park || Restaurants || Food,, 04/01/2013,active,silver,OK -> TRAVEL -> Restaurants,OK -> Remmington Park -> Restaurants,,,,
,,,,,,,,,,,,,,,,27,Magic Wheels Motorcycle Club & Sandwich Shop,,http://www.yellowpages.com/oklahoma-city-ok/mip/magic-wheels-motorcycle-club-sandwich-shop-10267184?lid=10267184,3724 N Kelley Ave,,United States,USA,,,,,,,,,73111,(405) 427-6641,,,,Oklahoma || Remmington Park || Restaurants || Food,, 04/01/2013,active,silver,OK -> TRAVEL -> Restaurants,OK -> Remmington Park -> Restaurants,,,,
,,,,,,,,,,,,,,,,28,Bedlam Bar-B Q,,http://bedlambarbq.com,610 NE 50th St,,United States,USA,,,,,,,,,73105,(405) 528-7427,,,,Oklahoma || Remmington Park || Restaurants || Food,, 04/01/2013,active,silver,OK -> TRAVEL -> Restaurants,OK -> Remmington Park -> Restaurants,,,,
,,,,,,,,,,,,,,,,29,Leo\'s Bar B Que,,http://www.yellowpages.com/oklahoma-city-ok/mip/leos-bar-b-que-4274789?lid=4274789,3631 N Kelley Ave,,United States,USA,,,,,,,,,73111,(405) 424-5367,,,,Oklahoma || Remmington Park || Restaurants || Food,, 04/01/2013,active,silver,OK -> TRAVEL -> Restaurants,OK -> Remmington Park -> Restaurants,,,,
,,,,,,,,,,,,,,,,30,Jamil\'s Steakhouse of Oklahoma City,,http://www.jamilssteakhouseokc.com,4910 N Lincoln Blvd,,United States,USA,,,,,,,,,73105,(405) 525-8352,,,,Oklahoma || Remmington Park || Restaurants || Food,, 04/01/2013,active,silver,OK -> TRAVEL -> Restaurants,OK -> Remmington Park -> Restaurants,,,,
,,,,,,,,,,,,,,,,31,Italiano\'s Pasta & Pizza,,http://www.yellowpages.com/oklahoma-city-ok/mip/italianos-pasta-pizza-4847727/coupons?lid=180792218,4801 N Lincoln Blvd,,United States,USA,,,,,,,,,73105,(405) 525-8900,,,,Oklahoma || Remmington Park || Restaurants || Food,, 04/01/2013,active,silver,OK -> TRAVEL -> Restaurants,OK -> Remmington Park -> Restaurants,,,,
,,,,,,,,,,,,,,,,32,Pizza Hut,,http://www.pizzahut.com,4709 N Lincoln Blvd,,United States,USA,,,,,,,,,73105,(405) 525-5655,,,,Oklahoma || Remmington Park || Restaurants || Food,, 04/01/2013,active,silver,OK -> TRAVEL -> Restaurants,OK -> Remmington Park -> Restaurants,,,,
,,,,,,,,,,,,,,,,33,WingStreet,,http://qa.pizzahut.com/wingstreet,4709 N Lincoln Blvd,,United States,USA,,,,,,,,,73105,(405) 525-5655,,,,Oklahoma || Remmington Park || Restaurants || Food,, 04/01/2013,active,silver,OK -> TRAVEL -> Restaurants,OK -> Remmington Park -> Restaurants,,,,
,,,,,,,,,,,,,,,,34,Abby\'s Grill,,http://www.yellowpages.com/oklahoma-city-ok/mip/abbys-grill-6973789?lid=6973789,4545 N Lincoln Blvd,,United States,USA,,,,,,,,,73105,(405) 525-2600,,,,Oklahoma || Remmington Park || Restaurants || Food,, 04/01/2013,active,silver,OK -> TRAVEL -> Restaurants,OK -> Remmington Park -> Restaurants,,,,
,,,,,,,,,,,,,,,,35,Executive Chef Cafe,,http://www.yellowpages.com/oklahoma-city-ok/mip/executive-chef-cafe-7153672?lid=7153672,525 Central Park Dr,,United States,USA,,,,,,,,,73105,(405) 601-2284,,,,Oklahoma || Remmington Park || Restaurants || Food,, 04/01/2013,active,silver,OK -> TRAVEL -> Restaurants,OK -> Remmington Park -> Restaurants,,,,
,,,,,,,,,,,,,,,,36,Carican Flavors,,http://www.caricanflavors.com,2701 N Martin Luther King Ave,,United States,USA,,,,,,,,,73111,(405) 424-0456,,,,Oklahoma || Remmington Park || Restaurants || Food,, 04/01/2013,active,silver,OK -> TRAVEL -> Restaurants,OK -> Remmington Park -> Restaurants,,,,
,,,,,,,,,,,,,,,,37,SUBWAY,,http://www.subway.com/,3925 N Lincoln Blvd,,United States,USA,,,,,,,,,73105,(405) 521-1111,,,,Oklahoma || Remmington Park || Restaurants || Food,, 04/01/2013,active,silver,OK -> TRAVEL -> Restaurants,OK -> Remmington Park -> Restaurants,,,,
,,,,,,,,,,,,,,,,38,Duy\'s Seafood,,http://www.yellowpages.com/oklahoma-city-ok/mip/duys-seafood-6112398?lid=6112398,3925 N Lincoln Blvd Ste E,,United States,USA,,,,,,,,,73105,(405) 557-1980,,,,Oklahoma || Remmington Park || Restaurants || Food,, 04/01/2013,active,silver,OK -> TRAVEL -> Restaurants,OK -> Remmington Park -> Restaurants,,,,
,,,,,,,,,,,,,,,,39,Smoke Shack BBQ Inc,,http://www.yellowpages.com/oklahoma-city-ok/mip/smoke-shack-bbq-inc-2709346?lid=2709346,3901 N Lincoln Blvd,,United States,USA,,,,,,,,,73105,(405) 525-2315,,,,Oklahoma || Remmington Park || Restaurants || Food,, 04/01/2013,active,silver,OK -> TRAVEL -> Restaurants,OK -> Remmington Park -> Restaurants,,,,
,,,,,,,,,,,,,,,,40,Taco Rico,,http://tacobueno.com/,3838 N Lincoln Blvd,,United States,USA,,,,,,,,,73105,(405) 521-1330,,,,Oklahoma || Remmington Park || Restaurants || Food,, 04/01/2013,active,silver,OK -> TRAVEL -> Restaurants,OK -> Remmington Park -> Restaurants,,,,
,,,,,,,,,,,,,,,,41,Hunan Garden Express Chinese Restaurant,,http://www.yellowpages.com/oklahoma-city-ok/mip/hunan-garden-express-chinese-restaurant-2893439?lid=2893439,3845 N Lincoln Blvd,,United States,USA,,,,,,,,,73105,(405) 528-8818,,,,Oklahoma || Remmington Park || Restaurants || Food,, 04/01/2013,active,silver,OK -> TRAVEL -> Restaurants,OK -> Remmington Park -> Restaurants,,,,
,,,,,,,,,,,,,,,,42,Church\'s Chicken,,http://www.churchschicken.com/,3839 N Lincoln Blvd,,United States,USA,,,,,,,,,73105,(405) 528-1386,,,,Oklahoma || Remmington Park || Restaurants || Food,, 04/01/2013,active,silver,OK -> TRAVEL -> Restaurants,OK -> Remmington Park -> Restaurants,,,,
,,,,,,,,,,,,,,,,43,T J\'s Seafood,,http://www.yellowpages.com/oklahoma-city-ok/mip/t-js-seafood-4285258?lid=4285258,2027 NE 23rd St,,United States,USA,,,,,,,,,73111,(405) 424-0399,,,,Oklahoma || Remmington Park || Restaurants || Food,, 04/01/2013,active,silver,OK -> TRAVEL -> Restaurants,OK -> Remmington Park -> Restaurants,,,,
,,,,,,,,,,,,,,,,44,Woody\'s Sports Bar & Grill,,http://www.yellowpages.com/oklahoma-city-ok/mip/woodys-sports-bar-grill-24178919/coupons?lid=24178919,2501 NE 23rd St,,United States,USA,,,,,,,,,73111,(405) 415-4061,,,,Oklahoma || Remmington Park || Restaurants || Food,, 04/01/2013,active,silver,OK -> TRAVEL -> Restaurants,OK -> Remmington Park -> Restaurants,,,,
,,,,,,,,,,,,,,,,45,KFC,,http://www.kfc.com,2401 N Martin Luther King Ave,,United States,USA,,,,,,,,,73111,(405) 427-7758,,,,Oklahoma || Remmington Park || Restaurants || Food,, 04/01/2013,active,silver,OK -> TRAVEL -> Restaurants,OK -> Remmington Park -> Restaurants,,,,
,,,,,,,,,,,,,,,,46,Grandy\'s,,http://www.grandys.com,3645 N Lincoln Blvd,,United States,USA,,,,,,,,,73105,(405) 524-0389,,,,Oklahoma || Remmington Park || Restaurants || Food,, 04/01/2013,active,silver,OK -> TRAVEL -> Restaurants,OK -> Remmington Park -> Restaurants,,,,
,,,,,,,,,,,,,,,,47,Arby\'s,,http://www.arbys.com,3628 N Lincoln Blvd,,United States,USA,,,,,,,,,73105,(405) 521-9824,,,,Oklahoma || Remmington Park || Restaurants || Food,, 04/01/2013,active,silver,OK -> TRAVEL -> Restaurants,OK -> Remmington Park -> Restaurants,,,,
,,,,,,,,,,,,,,,,48,Beef and Bun,,http://www.yellowpages.com/oklahoma-city-ok/mip/beef-and-bun-464928933?lid=464928933,2741 NE 23rd St,,United States,USA,,,,,,,,,73111,(405) 427-2333,,,,Oklahoma || Remmington Park || Restaurants || Food,, 04/01/2013,active,silver,OK -> TRAVEL -> Restaurants,OK -> Remmington Park -> Restaurants,,,,
,,,,,,,,,,,,,,,,49,A Family Affair Restaurant,,http://afamilyaffair23.com,1742 NE 23rd St,,United States,USA,,,,,,,,,73111,(405) 427-1919,,,,Oklahoma || Remmington Park || Restaurants || Food,, 04/01/2013,active,silver,OK -> TRAVEL -> Restaurants,OK -> Remmington Park -> Restaurants,,,,
,,,,,,,,,,,,,,,,50,Sonic Drive-In,,http://www.sonicdrivein.com/,2315 N Martin Luther King Ave,,United States,USA,,,,,,,,,73111,(405) 424-2026,,,,Oklahoma || Remmington Park || Restaurants || Food,, 04/01/2013,active,silver,OK -> TRAVEL -> Restaurants,OK -> Remmington Park -> Restaurants,,,,
,,,,,,,,,,,,,,,,51,This Iz It,,http://www.yellowpages.com/oklahoma-city-ok/mip/this-iz-it-2902583?lid=2902583,2831 NE 23rd St,,United States,USA,,,,,,,,,73121,(405) 601-8686,,,,Oklahoma || Remmington Park || Restaurants || Food,, 04/01/2013,active,silver,OK -> TRAVEL -> Restaurants,OK -> Remmington Park -> Restaurants,,,,
,,,,,,,,,,,,,,,,52,Bistro Tech,,http://bistrotech.com,207 NE 38th St,,United States,USA,,,,,,,,,73105,(405) 521-8324,,,,Oklahoma || Remmington Park || Restaurants || Food,, 04/01/2013,active,silver,OK -> TRAVEL -> Restaurants,OK -> Remmington Park -> Restaurants,,,,
,,,,,,,,,,,,,,,,53,Florence\'s Restaurant,,http://florencesrestaurant.com,1437 NE 23rd St,,United States,USA,,,,,,,,,73111,(405) 427-3663,,,,Oklahoma || Remmington Park || Restaurants || Food,, 04/01/2013,active,silver,OK -> TRAVEL -> Restaurants,OK -> Remmington Park -> Restaurants,,,,
,,,,,,,,,,,,,,,,54,Church\'s Chicken,,http://www.churchs.com,1424 NE 23rd St,,United States,USA,,,,,,,,,73111,(405) 427-0052,,,,Oklahoma || Remmington Park || Restaurants || Food,, 04/01/2013,active,silver,OK -> TRAVEL -> Restaurants,OK -> Remmington Park -> Restaurants,,,,
,,,,,,,,,,,,,,,,55,Tee\'z Cafe,,http://www.yellowpages.com/oklahoma-city-ok/mip/teez-cafe-466147858?lid=466147858,1309 NE 23rd St # A,,United States,USA,,,,,,,,,73111,(405) 427-6691,,,,Oklahoma || Remmington Park || Restaurants || Food,, 04/01/2013,active,silver,OK -> TRAVEL -> Restaurants,OK -> Remmington Park -> Restaurants,,,,
,,,,,,,,,,,,,,,,56,Healthy Mex Corporation,,http://www.yellowpages.com/oklahoma-city-ok/mip/healthy-mex-corporation-3712803?lid=3712803,6 NE 63rd St,,United States,USA,,,,,,,,,73105,(405) 842-0356,,,,Oklahoma || Remmington Park || Restaurants || Food,, 04/01/2013,active,silver,OK -> TRAVEL -> Restaurants,OK -> Remmington Park -> Restaurants,,,,
,,,,,,,,,,,,,,,,57,National Association of Sonic,,http://www.sonicdrivein.com,6412 N Santa Fe Ave,,United States,USA,,,,,,,,,73116,(405) 879-0104,,,,Oklahoma || Remmington Park || Restaurants || Food,, 04/01/2013,active,silver,OK -> TRAVEL -> Restaurants,OK -> Remmington Park -> Restaurants,,,,
,,,,,,,,,,,,,,,,58,SUBWAY,,http://www.subway.com/,950 NE 23rd St,,United States,USA,,,,,,,,,73105,(405) 524-0064,,,,Oklahoma || Remmington Park || Restaurants || Food,, 04/01/2013,active,silver,OK -> TRAVEL -> Restaurants,OK -> Remmington Park -> Restaurants,,,,
,,,,,,,,,,,,,,,,59,Geronimo\'s Bakery,,http://www.yellowpages.com/oklahoma-city-ok/mip/geronimos-bakery-15000699?lid=15000699,1817 N Martin Luther King Ave,,United States,USA,,,,,,,,,73111,(405) 427-5893,,,,Oklahoma || Remmington Park || Restaurants || Food,, 04/01/2013,active,silver,OK -> TRAVEL -> Restaurants,OK -> Remmington Park -> Restaurants,,,,
,,,,,,,,,,,,,,,,60,Pasta Pizzaz,,http://www.yellowpages.com/oklahoma-city-ok/mip/pasta-pizzaz-3058304?lid=3058304,7210 Broadway Ext,,United States,USA,,,,,,,,,73116,(405) 848-9966,,,,Oklahoma || Remmington Park || Restaurants || Food,, 04/01/2013,active,silver,OK -> TRAVEL -> Restaurants,OK -> Remmington Park -> Restaurants,,,,
,,,,,,,,,,,,,,,,61,Harvey House,,http://www.harveyhouse.com,201 NW 63rd St,,United States,USA,,,,,,,,,73116,(405) 840-7799,,,,Oklahoma || Remmington Park || Restaurants || Food,, 04/01/2013,active,silver,OK -> TRAVEL -> Restaurants,OK -> Remmington Park -> Restaurants,,,,
,,,,,,,,,,,,,,,,62,Pizza Hut,,http://www.pizzahut.com,205 NW 63rd St,,United States,USA,,,,,,,,,73116,(405) 858-0500,,,,Oklahoma || Remmington Park || Restaurants || Food,, 04/01/2013,active,silver,OK -> TRAVEL -> Restaurants,OK -> Remmington Park -> Restaurants,,,,
,,,,,,,,,,,,,,,,63,The Shack Seafood & Oyster Bar,,http://www.facebook.com/pages/Oklahoma-City-OK/The-Shack-Seafood-And-Oyster-Bar/284182169090,303 NW 62nd St,,United States,USA,,,,,,,,,73118,(405) 608-4333,,,,Oklahoma || Remmington Park || Restaurants || Food,, 04/01/2013,active,silver,OK -> TRAVEL -> Restaurants,OK -> Remmington Park -> Restaurants,,,,
,,,,,,,,,,,,,,,,64,Spinozi\'s,,http://www.yellowpages.com/oklahoma-city-ok/mip/spinozis-2311498?lid=2311498,303 NW 62nd St,,United States,USA,,,,,,,,,73118,(405) 607-2932,,,,Oklahoma || Remmington Park || Restaurants || Food,, 04/01/2013,active,silver,OK -> TRAVEL -> Restaurants,OK -> Remmington Park -> Restaurants,,,,
,,,,,,,,,,,,,,,,65,Sushi City,,http://www.yellowpages.com/oklahoma-city-ok/mip/sushi-city-458058092?lid=458058092,418 NW 50th St,,United States,USA,,,,,,,,,73118,(405) 286-1450,,,,Oklahoma || Remmington Park || Restaurants || Food,, 04/01/2013,active,silver,OK -> TRAVEL -> Restaurants,OK -> Remmington Park -> Restaurants,,,,
,,,,,,,,,,,,,,,,66,Executive\'s Chef Cafe,,http://www.executiveschef.com,301 NW 63rd St Ste 160,,United States,USA,,,,,,,,,73116,(405) 286-9066,,,,Oklahoma || Remmington Park || Restaurants || Food,, 04/01/2013,active,silver,OK -> TRAVEL -> Restaurants,OK -> Remmington Park -> Restaurants,,,,
,,,,,,,,,,,,,,,,67,Sequoyah Deli,,http://www.yellowpages.com/oklahoma-city-ok/mip/sequoyah-deli-464675734?lid=464675734,2401 N Lincoln Blvd,,United States,USA,,,,,,,,,73105,(405) 524-7377,,,,Oklahoma || Remmington Park || Restaurants || Food,, 04/01/2013,active,silver,OK -> TRAVEL -> Restaurants,OK -> Remmington Park -> Restaurants,,,,
,,,,,,,,,,,,,,,,68,Mandarine Chef,,http://www.yellowpages.com/oklahoma-city-ok/mip/mandarine-chef-467450523?lid=467450523,1406 N Martin Luther King Ave,,United States,USA,,,,,,,,,73117,(405) 794-8880,,,,Oklahoma || Remmington Park || Restaurants || Food,, 04/01/2013,active,silver,OK -> TRAVEL -> Restaurants,OK -> Remmington Park -> Restaurants,,,,
,,,,,,,,,,,,,,,,69,Pizza Hut,,http://www.pizzahut.com,1402 N Martin Luther King Ave,,United States,USA,,,,,,,,,73117,(405) 735-2222,,,,Oklahoma || Remmington Park || Restaurants || Food,, 04/01/2013,active,silver,OK -> TRAVEL -> Restaurants,OK -> Remmington Park -> Restaurants,,,,
,,,,,,,,,,,,,,,,70,Burger King,,http://www.bk.com,1301 N Martin Luther King Ave,,United States,USA,,,,,,,,,73117,(405) 799-6415,,,,Oklahoma || Remmington Park || Restaurants || Food,, 04/01/2013,active,silver,OK -> TRAVEL -> Restaurants,OK -> Remmington Park -> Restaurants,,,,
,,,,,,,,,,,,,,,,71,McDonald\'s,,http://www.mcdonalds.com,550 NW 39th St,,United States,USA,,,,,,,,,73118,(405) 782-0361,,,,Oklahoma || Remmington Park || Restaurants || Food,, 04/01/2013,active,silver,OK -> TRAVEL -> Restaurants,OK -> Remmington Park -> Restaurants,,,,
,,,,,,,,,,,,,,,,72,Mandarin Chinese Restaurant,,http://www.yellowpages.com/oklahoma-city-ok/mip/mandarin-chinese-restaurant-467221226?lid=467221226,1244 N Martin Luther King Ave,,United States,USA,,,,,,,,,73117,(405) 799-7909,,,,Oklahoma || Remmington Park || Restaurants || Food,, 04/01/2013,active,silver,OK -> TRAVEL -> Restaurants,OK -> Remmington Park -> Restaurants,,,,
,,,,,,,,,,,,,,,,73,Hitching Post,,http://www.yellowpages.com/oklahoma-city-ok/mip/hitching-post-468335650?lid=468335650,2300 N Lincoln Blvd,,United States,USA,,,,,,,,,73105,(405) 557-1602,,,,Oklahoma || Remmington Park || Restaurants || Food,, 04/01/2013,active,silver,OK -> TRAVEL -> Restaurants,OK -> Remmington Park -> Restaurants,,,,
,,,,,,,,,,,,,,,,74,Laughter Cafe,,http://www.yellowpages.com/oklahoma-city-ok/mip/laughter-cafe-457416986?lid=457416986,2300 N Lincoln Blvd,,United States,USA,,,,,,,,,73105,(405) 416-1919,,,,Oklahoma || Remmington Park || Restaurants || Food,, 04/01/2013,active,silver,OK -> TRAVEL -> Restaurants,OK -> Remmington Park -> Restaurants,,,,
,,,,,,,,,,,,,,,,75,Popeyes Louisiana Kitchen,,http://www.popeyes.com,135 NE 23rd St,,United States,USA,,,,,,,,,73105,(405) 528-2877,,,,Oklahoma || Remmington Park || Restaurants || Food,, 04/01/2013,active,silver,OK -> TRAVEL -> Restaurants,OK -> Remmington Park -> Restaurants,,,,
,,,,,,,,,,,,,,,,76,Burger King,,http://www.bk.com,135 NE 23rd St,,United States,USA,,,,,,,,,73105,(405) 521-1667,,,,Oklahoma || Remmington Park || Restaurants || Food,, 04/01/2013,active,silver,OK -> TRAVEL -> Restaurants,OK -> Remmington Park -> Restaurants,,,,
,,,,,,,,,,,,,,,,77,Dining Express,,http://858togo.com,7801 N Robinson Ave Apt N,,United States,USA,,,,,,,,,73116,(405) 858-8646,,,,Oklahoma || Remmington Park || Restaurants || Food,, 04/01/2013,active,silver,OK -> TRAVEL -> Restaurants,OK -> Remmington Park -> Restaurants,,,,
,,,,,,,,,,,,,,,,78,Shartel Cafe,,http://www.yellowpages.com/oklahoma-city-ok/mip/shartel-cafe-6303478?lid=6303478,5116 N Shartel Ave,,United States,USA,,,,,,,,,73118,(405) 843-0900,,,,Oklahoma || Remmington Park || Restaurants || Food,, 04/01/2013,active,silver,OK -> TRAVEL -> Restaurants,OK -> Remmington Park -> Restaurants,,,,
