Account Username,Account Password,Account Contact First Name,Account Contact Last Name,Account Contact Company,Account Contact Address,Account Contact Address2,Account Contact Country,Account Contact State,Account Contact City,Account Contact Postal Code,Account Contact Phone,Account Contact Fax,Account Contact Email,Account Contact URL,Legacy ID,Listing ID,Listing Title,Listing Email,Listing URL,Listing Address,Listing Address2,Listing Country,Listing Country Abbreviation,Listing Region,Listing Region Abbreviation,Listing State,Listing State Abbreviation,Listing City,Listing City Abbreviation,Listing Neighborhood,Listing Neighborhood Abbreviation,Listing Postal Code,Listing Phone,Listing Fax,Listing Short Description,Listing Long Description,Listing Keywords,Updated Date,Listing Renewal Date,Listing Status,Listing Level,Listing Category 1,Listing Category 2,Listing Category 3,Listing Category 4,Listing Category 5,Listing Template
,,,,,,,,,,,,,,,,,Small Arms Inc.,rowens1968@yahoo.com,,3208 Coleman Rd.,,United States,USA,,,Alabama,AL,Anniston,,,,36207,(256) 310-1315,,,,Gunsmiths || Repair || Modifications,7/10/2012,1/1/2014,active,bronze,Archery & Firearms->Gunsmiths->Alabama,,,,,
,,,,,,,,,,,,,,,,,Gander Mountain 130,gm130gs@gandermountain.com,,535 N. WESTHILL BLVD.,,United States,USA,,,Wisconsin,WI,Appleton,,,,54914,(920) 731-9400,,,,Gunsmiths || Repair || Modifications,7/10/2012,1/1/2014,active,bronze,Archery & Firearms->Gunsmiths->Wisconsin,,,,,
,,,,,,,,,,,,,,,,,Fred Guerrero,LOUIEROCCO63@ATT.NET,,2930 Aduana Dr.,,United States,USA,,,California,CA,Arcadia,,,,91006,(323) 259-1912,,,,Gunsmiths || Repair || Modifications,7/10/2012,1/1/2014,active,bronze,Archery & Firearms->Gunsmiths->California,,,,,
,,,,,,,,,,,,,,,,,Demo Gunsmithing/Firearm Sales,bwdemo@msn.com,,4117 302nd Rd,,United States,USA,,,Kansas,KS,Arkansas City,,,,67005,(620) 442-6971,,,,Gunsmiths || Repair || Modifications,7/10/2012,1/1/2014,active,bronze,Archery & Firearms->Gunsmiths->Kansas,,,,,
,,,,,,,,,,,,,,,,,Brians Pistol Sales/Gun Smithing,bwdemo@msn.com,,4117 302nd Rd,,United States,USA,,,Kansas,KS,Arkansas City,,,,67005,(620) 442-6971,,,,Gunsmiths || Repair || Modifications,7/10/2012,1/1/2014,active,bronze,Archery & Firearms->Gunsmiths->Kansas,,,,,
,,,,,,,,,,,,,,,,,David Clevinger Engraving,david@dcengraving.com,,6093 Holland St.,,United States,USA,,,Colorado,CO,Arvada,,,,80004,(720) 979-9202,,,,Gunsmiths || Repair || Modifications,7/10/2012,1/1/2014,active,bronze,Archery & Firearms->Gunsmiths->Colorado,,,,,
,,,,,,,,,,,,,,,,,Gander Mountain 341,gm341gs@gandermountain.com,,10150 Lakeridge Parkway,,United States,USA,,,Virginia,VA,Ashland,,,,23005,(804) 550-2414,,,,Gunsmiths || Repair || Modifications,7/10/2012,1/1/2014,active,bronze,Archery & Firearms->Gunsmiths->Virginia,,,,,
,,,,,,,,,,,,,,,,,Brown Dog Gunsmithing,hunter@browndoggunsmithing.com,,34492 N CLAGSTONE RD,,United States,USA,,,Idaho,ID,Athol,,,,83801,(208) 699-3223,,,,Gunsmiths || Repair || Modifications,7/10/2012,1/1/2014,active,bronze,Archery & Firearms->Gunsmiths->Idaho,,,,,
,,,,,,,,,,,,,,,,,Gander Mountain 420,gm420gs@gandermountain.com,,14000 E. Jewell Ave,,United States,USA,,,Colorado,CO,Aurora,,,,80012,(303) 750-0055,,,,Gunsmiths || Repair || Modifications,7/10/2012,1/1/2014,active,bronze,Archery & Firearms->Gunsmiths->Colorado,,,,,
,,,,,,,,,,,,,,,,,RT Rifles LLC,rt3@austin.rr.com,austin.rr.com,9011 Appaloosa Run,,United States,USA,,,Texas,TX,Austin,,,,78737,(512) 751-4857,,,,Gunsmiths || Repair || Modifications,7/10/2012,1/1/2014,active,bronze,Archery & Firearms->Gunsmiths->Texas,,,,,
,,,,,,,,,,,,,,,,,Tactical Gunsmith Services,kenneth.cary@hotmail.com,,10216 Pinehurst Dr,,United States,USA,,,Texas,TX,Austin,,,,78747,(512) 698-4868,,,,Gunsmiths || Repair || Modifications,7/10/2012,1/1/2014,active,bronze,Archery & Firearms->Gunsmiths->Texas,,,,,
,,,,,,,,,,,,,,,,,Doug's Gunsmith Shop - Gun Dr.,info@dougsgunsmithshop.com,dougsgunsmithshop.com,3929 8th St. SW,,United States,USA,,,Minnesota,MN,Backus,,,,56435,(218) 947-3600,,,,Gunsmiths || Repair || Modifications,7/10/2012,1/1/2014,active,bronze,Archery & Firearms->Gunsmiths->Minnesota,,,,,
,,,,,,,,,,,,,,,,,"Heritage Gunworks, LLC",heritagegunworks@yahoo.com,,1602 Belcher Lane,,United States,USA,,,Georgia,GA,Bainbridge,,,,39817,(229) 254-2455,,,,Gunsmiths || Repair || Modifications,7/10/2012,1/1/2014,active,bronze,Archery & Firearms->Gunsmiths->Georgia,,,,,
,,,,,,,,,,,,,,,,,Clint Fowler M1 Garand Accuracy Manual,clintfowler10@hughes.net,,10486 Stegara Road,,United States,USA,,,Virginia,VA,Barboursville,,,,22923,(540) 672-0357,,,,Gunsmiths || Repair || Modifications,7/10/2012,1/1/2014,active,bronze,Archery & Firearms->Gunsmiths->Virginia,,,,,
,,,,,,,,,,,,,,,,,Gander Mountain 486,gm486gs@gandermountain.com,,14275 Edgewood Drive,,United States,USA,,,Minnesota,MN,Baxter,,,,56425,(218) 828-1736,,,,Gunsmiths || Repair || Modifications,7/10/2012,1/1/2014,active,bronze,Archery & Firearms->Gunsmiths->Minnesota,,,,,
,,,,,,,,,,,,,,,,,OMG Custom Guns,gunsmith@omgcustomguns.com,,395 Broadway,,United States,USA,,,New Jersey,NJ,Bayonne,,,,07002,(551) 221-2276,,,,Gunsmiths || Repair || Modifications,7/10/2012,1/1/2014,active,bronze,Archery & Firearms->Gunsmiths->New Jersey,,,,,
,,,,,,,,,,,,,,,,,Gander Mountain 407,gm407gs@gandermountain.com,,5855 Eastex Freeway,,United States,USA,,,Texas,TX,Beaumont,,,,77706,(409) 347-3055,,,,Gunsmiths || Repair || Modifications,7/10/2012,1/1/2014,active,bronze,Archery & Firearms->Gunsmiths->Texas,,,,,
,,,,,,,,,,,,,,,,,Keeler's Gunsmithing LLC,chris@keelersgunsmithing.com,,14308 Arbor Blvd,,United States,USA,,,Minnesota,MN,Becker,,,,55308,(763) 234-8004,,,,Gunsmiths || Repair || Modifications,7/10/2012,1/1/2014,active,bronze,Archery & Firearms->Gunsmiths->Minnesota,,,,,
,,,,,,,,,,,,,,,,,Gunstock Carving Duplicators,26buick@comcast.net,,518 Gabaldon Rd,,United States,USA,,,New Mexico,NM,Belen,,,,87002,(505) 948-0571,,,,Gunsmiths || Repair || Modifications,7/10/2012,1/1/2014,active,bronze,Archery & Firearms->Gunsmiths->New Mexico,,,,,
,,,,,,,,,,,,,,,,,Mac's Precision Gunsmithing,macsprecisiongunsmithing@hughes.net,,1381 East Axton Road,,United States,USA,,,Washington,WA,Bellingham,,,,98226-9755,(360) 319-7314,,,,Gunsmiths || Repair || Modifications,7/10/2012,1/1/2014,active,bronze,Archery & Firearms->Gunsmiths->Washington,,,,,
,,,,,,,,,,,,,,,,,Gander Mountain 484,gm484gs@gandermountain.com,,1313 PAUL BUNYAN DRIVE,,United States,USA,,,Minnesota,MN,Bemidji,,,,56601,(218) 755-6150,,,,Gunsmiths || Repair || Modifications,7/10/2012,1/1/2014,active,bronze,Archery & Firearms->Gunsmiths->Minnesota,,,,,
,,,,,,,,,,,,,,,,,Schroeder Arms,schroederarms@yahoo.com,,22089 15th Ave,,United States,USA,,,Iowa,IA,Bernard,,,,52032,(563) 590-1718,,,,Gunsmiths || Repair || Modifications,7/10/2012,1/1/2014,active,bronze,Archery & Firearms->Gunsmiths->Iowa,,,,,
,,,,,,,,,,,,,,,,,GPIERCE GUNSMITHING,gary@gpiercegunsmithing.com,gpiercegunsmithing.com,726 CR 304,,United States,USA,,,Texas,TX,Bertram,,,,78605,(512) 715-9303,,,,Gunsmiths || Repair || Modifications,7/10/2012,1/1/2014,active,bronze,Archery & Firearms->Gunsmiths->Texas,,,,,
,,,,,,,,,,,,,,,,,C&S Gunsmithing,eagle44mag@roadrunner.com,,211 West Plane St.,,United States,USA,,,Ohio,OH,Bethel,,,,45106,(513) 427-4269,,,,Gunsmiths || Repair || Modifications,7/10/2012,1/1/2014,active,bronze,Archery & Firearms->Gunsmiths->Ohio,,,,,
,,,,,,,,,,,,,,,,,Woods Bay Gunsmithing,dmajerus@centurytel.net,,13390 Mt. Hwy. 35,,United States,USA,,,Montana,MT,Bigfork,,,,59911,(406) 837-1101,,,,Gunsmiths || Repair || Modifications,7/10/2012,1/1/2014,active,bronze,Archery & Firearms->Gunsmiths->Montana,,,,,
,,,,,,,,,,,,,,,,,X-Ring Pistol Works,lewm@x-ringpistol.com,,1120 17th Street West,,United States,USA,,,Montana,MT,Billings,,,,59102,(406) 690-0459,,,,Gunsmiths || Repair || Modifications,7/10/2012,1/1/2014,active,bronze,Archery & Firearms->Gunsmiths->Montana,,,,,
,,,,,,,,,,,,,,,,,Gander Mountain 487,gm487gs@gandermountain.com,,10650 Baltimore Street NE,,United States,USA,,,Minnesota,MN,Blaine,,,,55434,(763) 783-7200,,,,Gunsmiths || Repair || Modifications,7/10/2012,1/1/2014,active,bronze,Archery & Firearms->Gunsmiths->Minnesota,,,,,
,,,,,,,,,,,,,,,,,Hillco Gunsmith,hillcogunsmith@yahoo.com,,139 Walnut Grove Rd.,,United States,USA,,,Texas,TX,Boerne,,,,78006,(830) 431-1880,,,,Gunsmiths || Repair || Modifications,7/10/2012,1/1/2014,active,bronze,Archery & Firearms->Gunsmiths->Texas,,,,,
,,,,,,,,,,,,,,,,,Bentwood Gunsmithing,bentwoodgunsmith@cox.net,,12801 US 95 South,,United States,USA,,,Nevada,NV,Boulder City,,,,89005,(702) 545-0884,,,,Gunsmiths || Repair || Modifications,7/10/2012,1/1/2014,active,bronze,Archery & Firearms->Gunsmiths->Nevada,,,,,
,,,,,,,,,,,,,,,,,R H - Gunsmith,rhgun@comcast.net,,65 River Road,,United States,USA,,,New Hampshire,NH,Bow,,,,03304-3345,(603) 224-9264,,,,Gunsmiths || Repair || Modifications,7/10/2012,1/1/2014,active,bronze,Archery & Firearms->Gunsmiths->New Hampshire,,,,,
,,,,,,,,,,,,,,,,,Gander Mountain 391,gm391gs@gandermountain.com,,725 Blugrass Farms Blvd Suite 1,,United States,USA,,,Kentucky,KY,Bowling Green,,,,42104,(270) 842-0855,,,,Gunsmiths || Repair || Modifications,7/10/2012,1/1/2014,active,bronze,Archery & Firearms->Gunsmiths->Kentucky,,,,,
,,,,,,,,,,,,,,,,,Precision Guncrafters,grsmith@precisionguncrafters.com,,642 White Stone Quarry Rd.,,United States,USA,,,Kentucky,KY,Bowling Green,,,,42101-9024,(270) 799-9011,,,,Gunsmiths || Repair || Modifications,7/10/2012,1/1/2014,active,bronze,Archery & Firearms->Gunsmiths->Kentucky,,,,,
,,,,,,,,,,,,,,,,,Quality Scope Repair,jbrown40004@hotmail.com,,1961-A Stonehenge Ave,,United States,USA,,,Kentucky,KY,Bowling Green,,,,42101,(270) 799-3012,,,,Gunsmiths || Repair || Modifications,7/10/2012,1/1/2014,active,bronze,Archery & Firearms->Gunsmiths->Kentucky,,,,,
,,,,,,,,,,,,,,,,,Steve Lamanen Inc.,steve.lamanen@hotmail.com,,5331 Lawnwood,,United States,USA,,,Michigan,MI,Brighton,,,,48114,(810) 299-5018,,,,Gunsmiths || Repair || Modifications,7/10/2012,1/1/2014,active,bronze,Archery & Firearms->Gunsmiths->Michigan,,,,,
,,,,,,,,,,,,,,,,,"Big D's Gunsmithing, LLC.",bigds@bigdsgunsmithing.com,bigdsgunsmithing.com,439 Canal Dr.,,United States,USA,,,Michigan,MI,Brooklyn,,,,49230,(517) 467-5440,,,,Gunsmiths || Repair || Modifications,7/10/2012,1/1/2014,active,bronze,Archery & Firearms->Gunsmiths->Michigan,,,,,
,,,,,,,,,,,,,,,,,GUNSMITHS INC,gunsmithsinc@yahoo.com,,136 VENTURE DRIVE,,United States,USA,,,Georgia,GA,Brunswick,,,,31525,(912) 466-8752,,,,Gunsmiths || Repair || Modifications,7/10/2012,1/1/2014,active,bronze,Archery & Firearms->Gunsmiths->Georgia,,,,,
,,,,,,,,,,,,,,,,,AFT,Sstevenmt21@yahoo.com,,1005 verde dr Apt b,,United States,USA,,,Texas,TX,Bryan,,,,77801,(979) 571-3530,,,,Gunsmiths || Repair || Modifications,7/10/2012,1/1/2014,active,bronze,Archery & Firearms->Gunsmiths->Texas,,,,,
,,,,,,,,,,,,,,,,,Gander Mountain 113,gm113gs@gandermountain.com,,6199 Metro Drive,,United States,USA,,,Wisconsin,WI,Burke,,,,53532,(555) 555-5555,,,,Gunsmiths || Repair || Modifications,7/10/2012,1/1/2014,active,bronze,Archery & Firearms->Gunsmiths->Wisconsin,,,,,
,,,,,,,,,,,,,,,,,J Christopher & 2nd Amendment,info@ammunitions.com,,5889 Moulton Reservior Road,,United States,USA,,,Montana,MT,Butte,,,,59701,(406) 490-2980,,,,Gunsmiths || Repair || Modifications,7/10/2012,1/1/2014,active,bronze,Archery & Firearms->Gunsmiths->Montana,,,,,
,,,,,,,,,,,,,,,,,EDDYS GUN WORKS,eddysgunworks@twcny.rr.com,,4423 Upper lenox Ave.,,United States,USA,,,New York,NY,Canastota,,,,13032,(315) 440-7282,,,,Gunsmiths || Repair || Modifications,7/10/2012,1/1/2014,active,bronze,Archery & Firearms->Gunsmiths->New York,,,,,
,,,,,,,,,,,,,,,,,Sportsman's Den,jason@sportsmans-den.com,,1912 Route 6,,United States,USA,,,New York,NY,Carmel,,,,10512,(845) 228-5744,,,,Gunsmiths || Repair || Modifications,7/10/2012,1/1/2014,active,bronze,Archery & Firearms->Gunsmiths->New York,,,,,
,,,,,,,,,,,,,,,,,"ISM Weapon Systems, Inc",sales@ismws.com,,209 Liveasy Rd,,United States,USA,,,Pennsylvania,PA,Carmichaels,,,,15320,(724) 966-2100,,,,Gunsmiths || Repair || Modifications,7/10/2012,1/1/2014,active,bronze,Archery & Firearms->Gunsmiths->Pennsylvania,,,,,
,,,,,,,,,,,,,,,,,Virlee Gunworks LLC.,Virlee32@yahoo.com,,N7199 McKinley Rd.,,United States,USA,,,Wisconsin,WI,Casco,,,,54205,(920) 845-9995,,,,Gunsmiths || Repair || Modifications,7/10/2012,1/1/2014,active,bronze,Archery & Firearms->Gunsmiths->Wisconsin,,,,,
,,,,,,,,,,,,,,,,,Gander Mountain 142,gm142gs@gandermountain.com,,2140 EDGEWOOD ROAD SW,,United States,USA,,,Iowa,IA,Cedar Rapids,,,,52404,(319) 654-8700,,,,Gunsmiths || Repair || Modifications,7/10/2012,1/1/2014,active,bronze,Archery & Firearms->Gunsmiths->Iowa,,,,,
,,,,,,,,,,,,,,,,,Gander Mountain 220,gm220gs@gandermountain.com,,3285 Black Gap Road,,United States,USA,,,Pennsylvania,PA,Chambersburg,,,,17202,(717) 263-8433,,,,Gunsmiths || Repair || Modifications,7/10/2012,1/1/2014,active,bronze,Archery & Firearms->Gunsmiths->Pennsylvania,,,,,
,,,,,,,,,,,,,,,,,Guns Etc.,sales@azgunsetc.net,azgunsetc.net,2156 N. Alma School Rd.,,United States,USA,,,Arizona,AZ,Chandler,,,,85224,(480) 963-4311,,,,Gunsmiths || Repair || Modifications,7/10/2012,1/1/2014,active,bronze,Archery & Firearms->Gunsmiths->Arizona,,,,,
,,,,,,,,,,,,,,,,,Gander Mountain 240,gm240gs@gandermountain.com,,2600 Mountaineer Blvd,,United States,USA,,,West Virginia,WV,Charleston,,,,25309,(304) 746-6130,,,,Gunsmiths || Repair || Modifications,7/10/2012,1/1/2014,active,bronze,Archery & Firearms->Gunsmiths->West Virginia,,,,,
,,,,,,,,,,,,,,,,,Burnt Mill Smithing,sales@burnt-mill.com,,127 Burnt Mill Rd.,,United States,USA,,,New York,NY,Churchville,,,,14428,(585) 293-2380,,,,Gunsmiths || Repair || Modifications,7/10/2012,1/1/2014,active,bronze,Archery & Firearms->Gunsmiths->New York,,,,,
,,,,,,,,,,,,,,,,,Gander Mountain 253,gm253gs@gandermountain.com,,5864 Carmenica Drive,,United States,USA,,,New York,NY,Cicero,,,,13039,(315) 698-1100,,,,Gunsmiths || Repair || Modifications,7/10/2012,1/1/2014,active,bronze,Archery & Firearms->Gunsmiths->New York,,,,,
,,,,,,,,,,,,,,,,,FireMaster's FireArms,firemasters.firearms@gmail.com,,794 Cinebar Road,,United States,USA,,,Washington,WA,Cinebar,,,,98533,(360) 520-7060,,,,Gunsmiths || Repair || Modifications,7/10/2012,1/1/2014,active,bronze,Archery & Firearms->Gunsmiths->Washington,,,,,
,,,,,,,,,,,,,,,,,"Douglas G. Cowan, Gunsmithing",douglas@mfi.net,,7959 NE 132nd Place,,United States,USA,,,Florida,FL,Citra,,,,32113,(352) 236-0845,,,,Gunsmiths || Repair || Modifications,7/10/2012,1/1/2014,active,bronze,Archery & Firearms->Gunsmiths->Florida,,,,,
,,,,,,,,,,,,,,,,,Nowlin,nowlinguns@msn.com,,20622 S 4092 Rd,,United States,USA,,,Oklahoma,OK,Claremore,,,,74019,(918) 342-0689,,,,Gunsmiths || Repair || Modifications,7/10/2012,1/1/2014,active,bronze,Archery & Firearms->Gunsmiths->Oklahoma,,,,,
,,,,,,,,,,,,,,,,,Hendrick Custom Firearms,mike.hendrick@fuse.net,fuse.net,104 Western Knoll Ct,,United States,USA,,,Ohio,OH,Cleves,,,,45002,(513) 314-7675,,,,Gunsmiths || Repair || Modifications,7/10/2012,1/1/2014,active,bronze,Archery & Firearms->Gunsmiths->Ohio,,,,,
,,,,,,,,,,,,,,,,,Lone Eagle Gun Works,merle@loneeaglegunworks.com,,116 Canyon Rd.,,United States,USA,,,Arizona,AZ,Clifton,,,,85533,(928) 792-7281,,,,Gunsmiths || Repair || Modifications,7/10/2012,1/1/2014,active,bronze,Archery & Firearms->Gunsmiths->Arizona,,,,,
,,,,,,,,,,,,,,,,,Hunters Trail Gun Shop,hooksrmm@bellsouth.net,,225 Doe Run Blvd,,United States,USA,,,Tennessee,TN,Clinton,,,,37716,(865) 463-9147,,,,Gunsmiths || Repair || Modifications,7/10/2012,1/1/2014,active,bronze,Archery & Firearms->Gunsmiths->Tennessee,,,,,
,,,,,,,,,,,,,,,,,Gunsmith David Smith,gunsmithing@live.com,,1843 Gibson,,United States,USA,,,California,CA,Clovis,,,,93611,(559) 325-9294,,,,Gunsmiths || Repair || Modifications,7/10/2012,1/1/2014,active,bronze,Archery & Firearms->Gunsmiths->California,,,,,
,,,,,,,,,,,,,,,,,Fernandez Gunsmithing,tony93@ptd.net,,1021 Treverton Rd.,,United States,USA,,,Pennsylvania,PA,Coal Township,,,,17866,(570) 644-1158,,,,Gunsmiths || Repair || Modifications,7/10/2012,1/1/2014,active,bronze,Archery & Firearms->Gunsmiths->Pennsylvania,,,,,
,,,,,,,,,,,,,,,,,R and D Gunsmithing,r_dgunsmiting@dalton.net,,903 Lowe Road,,United States,USA,,,Georgia,GA,Cohutta,,,,30710,(706) 694-2649,,,,Gunsmiths || Repair || Modifications,7/10/2012,1/1/2014,active,bronze,Archery & Firearms->Gunsmiths->Georgia,,,,,
,,,,,,,,,,,,,,,,,Gander Mountain 164,gm164gs@gandermountain.com,,373 North Willowbrook Road,,United States,USA,,,Michigan,MI,Coldwater,,,,49036,(517) 279-2900,,,,Gunsmiths || Repair || Modifications,7/10/2012,1/1/2014,active,bronze,Archery & Firearms->Gunsmiths->Michigan,,,,,
,,,,,,,,,,,,,,,,,Texas Gun Parts,mike@texasgunparts.com,,1916 S Concho St,,United States,USA,,,Texas,TX,Coleman,,,,76834,(325) 625-3333,,,,Gunsmiths || Repair || Modifications,7/10/2012,1/1/2014,active,bronze,Archery & Firearms->Gunsmiths->Texas,,,,,
,,,,,,,,,,,,,,,,,TNT Firearms,tntfirearmscstx@gmail.com,,2504 Sumter Drive,,United States,USA,,,Texas,TX,College Station,,,,77845,(979) 204-7681,,,,Gunsmiths || Repair || Modifications,7/10/2012,1/1/2014,active,bronze,Archery & Firearms->Gunsmiths->Texas,,,,,
,,,,,,,,,,,,,,,,,Gander Mountain 411,gm411gs@gandermountain.com,,2301 Earl Rudder Freeway South,,United States,USA,,,Texas,TX,College Station,,,,77845,(979) 693-6412,,,,Gunsmiths || Repair || Modifications,7/10/2012,1/1/2014,active,bronze,Archery & Firearms->Gunsmiths->Texas,,,,,
,,,,,,,,,,,,,,,,,"Bighorn Gunsmithing, LLC",gunsredone07@aol.com,,407 Juanita Street,,United States,USA,,,Colorado,CO,Colorado Springs,,,,80909,(719) 233-8441,,,,Gunsmiths || Repair || Modifications,7/10/2012,1/1/2014,active,bronze,Archery & Firearms->Gunsmiths->Colorado,,,,,
,,,,,,,,,,,,,,,,,Liberty Gun Sales,Melvingeraldmesser@hotmail.com,,129 E. Maple,,United States,USA,,,Kansas,KS,Columbus,,,,66725,(417) 629-7190,,,,Gunsmiths || Repair || Modifications,7/10/2012,1/1/2014,active,bronze,Archery & Firearms->Gunsmiths->Kansas,,,,,
,,,,,,,,,,,,,,,,,Gander Mountain 192,gm192gs@gandermountain.com,,5388 WESTPOINTE PLAZA DR.,,United States,USA,,,Ohio,OH,Columbus,,,,43228,(614) 921-2223,,,,Gunsmiths || Repair || Modifications,7/10/2012,1/1/2014,active,bronze,Archery & Firearms->Gunsmiths->Ohio,,,,,
,,,,,,,,,,,,,,,,,"Small Arms Restoration, Inc.",sarinc@bellsouth.net,,831 Sage Lane Nw,,United States,USA,,,Georgia,GA,Conyers,,,,30012,(770) 356-9625,,,,Gunsmiths || Repair || Modifications,7/10/2012,1/1/2014,active,bronze,Archery & Firearms->Gunsmiths->Georgia,,,,,
,,,,,,,,,,,,,,,,,Arms-Fair,william.hill@arms-fair.com,arms-fair.com,7845 Trinity Rd Ste 103,,United States,USA,,,Tennessee,TN,Cordova,,,,38018,(901) 755-5540,,,,Gunsmiths || Repair || Modifications,7/10/2012,1/1/2014,active,bronze,Archery & Firearms->Gunsmiths->Tennessee,,,,,
,,,,,,,,,,,,,,,,,Gander Mountain 400,gm400gs@gandermountain.com,,3301 Corsicana Crossings Blvd,,United States,USA,,,Texas,TX,Corsicana,,,,75110,(903) 874-2500,,,,Gunsmiths || Repair || Modifications,7/10/2012,1/1/2014,active,bronze,Archery & Firearms->Gunsmiths->Texas,,,,,
,,,,,,,,,,,,,,,,,"FCW, LLC",fcwguns@inebraska.com,,325 Sheridan Ave PO Box 301,,United States,USA,,,Nebraska,NE,Cortland,,,,68331,(402) 798-8383,,,,Gunsmiths || Repair || Modifications,7/10/2012,1/1/2014,active,bronze,Archery & Firearms->Gunsmiths->Nebraska,,,,,
,,,,,,,,,,,,,,,,,Whealtons Firearm Service,,,102 West Sunset Blvd,,United States,USA,,,North Carolina,NC,Cove City,,,,28523,(252) 633-0030,,,,Gunsmiths || Repair || Modifications,7/10/2012,1/1/2014,active,bronze,Archery & Firearms->Gunsmiths->North Carolina,,,,,
