Account Username,Account Password,Account Contact First Name,Account Contact Last Name,Account Contact Company,Account Contact Address,Account Contact Address2,Account Contact Country,Account Contact State,Account Contact City,Account Contact Postal Code,Account Contact Phone,Account Contact Fax,Account Contact Email,Account Contact URL,Legacy ID,Event ID,Event Title,Event Email,Event URL,Event Address,Event Location Name,Event Contact Name,Event Start Date,Event End Date,Event Start Time,Start Time Mode,Event End Time,End Time Mode,Event Country,Event Country Abbreviation,Event Region,Event Region Abbreviation,Event State,Event State Abbreviation,Event City,Event City Abbreviation,Event Neighborhood,Event Neighborhood Abbreviation,Event Postal Code,Event Phone,Event Short Description,Event Long Description,Event Keywords,Updated Date,Event Renewal Date,Event Status,Event Level,Event Category 1,Event Category 2,Event Category 3,Event Category 4,Event Category 5
,,,,,,,,,,,,,,,,,New Mexico State Fair Senorita Futurity,,,,New Mexico State Fair,,,,,,,,United States,USA,,,,NM,,,,,,,400,2yo,Races || Futurity ,7/3/2012,1/1/2014,active,diamond,Quarter Horse Races,,,,
,,,,,,,,,,,,,,,,,Prairie Meadows Championship Challenge,,http://www.prairiemeadows.com/2012%20TB%20Horsemen%20Guide.pdf,,Prairie Meadows,,,,,,,,United States,USA,,,,IA,,,,,,,440,3U,Races || Futurity ,7/3/2012,1/1/2014,active,diamond,Quarter Horse Races,,,,
,,,,,,,,,,,,,,,,,Altoona Derby,,http://www.prairiemeadows.com/2012%20TB%20Horsemen%20Guide.pdf,,Prairie Meadows,,10/18/2012,10/18/2012,,,,,United States,USA,,,,IA,,,,,,,400,3yo,Races || Futurity ,7/3/2012,1/1/2014,active,diamond,Quarter Horse Races,,,,
,,,,,,,,,,,,,,,,,Covered Bridges Stakes,,http://www.prairiemeadows.com/2012%20TB%20Horsemen%20Guide.pdf,,Prairie Meadows,,,,,,,,United States,USA,,,,IA,,,,,,,870,3U,Races || Futurity ,7/3/2012,1/1/2014,active,diamond,Quarter Horse Races,,,,
,,,,,,,,,,,,,,,,,Keokuk Stakes,,http://www.prairiemeadows.com/2012%20TB%20Horsemen%20Guide.pdf,,Prairie Meadows,,,,,,,,United States,USA,,,,IA,,,,,,,400,3U,Races || Futurity ,7/3/2012,1/1/2014,active,diamond,Quarter Horse Races,,,,
,,,,,,,,,,,,,,,,,Prairie Meadows Derby Challenge,,http://www.prairiemeadows.com/2012%20TB%20Horsemen%20Guide.pdf,,Prairie Meadows,,9/15/2012,9/15/2012,,,,,United States,USA,,,,IA,,,,,,,400,3yo,Races || Futurity ,7/3/2012,1/1/2014,active,diamond,Quarter Horse Races,,,,
,,,,,,,,,,,,,,,,,Prairie Meadows Distance Challenge,,http://www.prairiemeadows.com/2012%20TB%20Horsemen%20Guide.pdf,,Prairie Meadows,,9/15/2012,9/15/2012,,,,,United States,USA,,,,IA,,,,,,,870,3U,Races || Futurity ,7/3/2012,1/1/2014,active,diamond,Quarter Horse Races,,,,
,,,,,,,,,,,,,,,,,Two Rivers Stakes,,http://www.prairiemeadows.com/2012%20TB%20Horsemen%20Guide.pdf,,Prairie Meadows,,10/18/2012,10/18/2012,,,,,United States,USA,,,,IA,,,,,,,440,3U,Races || Futurity ,7/3/2012,1/1/2014,active,diamond,Quarter Horse Races,,,,
,,,,,,,,,,,,,,,,,Valley Junction Futurity,,http://www.prairiemeadows.com/2012%20TB%20Horsemen%20Guide.pdf,,Prairie Meadows,,10/18/2012,10/18/2012,,,,,United States,USA,,,,IA,,,,,,,350,2yo,Races || Futurity ,7/3/2012,1/1/2014,active,diamond,Quarter Horse Races,,,,
,,,,,,,,,,,,,,,,,Iowa Double Gold Futurity,,http://www.prairiemeadows.com/2012%20TB%20Horsemen%20Guide.pdf,,Prairie Meadows,,,,,,,,United States,USA,,,,IA,,,,,,,350,2yo,Races || Futurity ,7/3/2012,1/1/2014,active,diamond,Quarter Horse Races,,,,
,,,,,,,,,,,,,,,,,Terrace Hill Stakes,,http://www.prairiemeadows.com/2012%20TB%20Horsemen%20Guide.pdf,,Prairie Meadows,,10/26/2012,10/26/2012,,,,,United States,USA,,,,IA,,,,,,,400,3U,Races || Futurity ,7/3/2012,1/1/2014,active,diamond,Quarter Horse Races,,,,
,,,,,,,,,,,,,,,,,Heritage Place Futurity,,,,Remington Park,,,,,,,,United States,USA,,,,OK,,,,,,,350,2yo,Races || Futurity ,7/3/2012,1/1/2014,active,diamond,Quarter Horse Races,,,,
,,,,,,,,,,,,,,,,,Leo Stakes,,,,Remington Park,,,,,,,,United States,USA,,,,OK,,,,,,,400,3U,Races || Futurity ,7/3/2012,1/1/2014,active,diamond,Quarter Horse Races,,,,
,,,,,,,,,,,,,,,,,Remington Park Invitational Championship,,,,Remington Park,,,,,,,,United States,USA,,,,OK,,,,,,,440,3U,Races || Futurity ,7/3/2012,1/1/2014,active,diamond,Quarter Horse Races,,,,
,,,,,,,,,,,,,,,,,Bob Moore Memorial  Stakes,,,,Remington Park,,,,,,,,United States,USA,,,,OK,,,,,,,300,3U,Races || Futurity ,7/3/2012,1/1/2014,active,diamond,Quarter Horse Races,,,,
,,,,,,,,,,,,,,,,,Eastex Handicap,,,,Remington Park,,,,,,,,United States,USA,,,,OK,,,,,,,350,3U,Races || Futurity ,7/3/2012,1/1/2014,active,diamond,Quarter Horse Races,,,,
,,,,,,,,,,,,,,,,,Heritage Place Derby,,,,Remington Park,,,,,,,,United States,USA,,,,OK,,,,,,,400,3yo,Races || Futurity ,7/3/2012,1/1/2014,active,diamond,Quarter Horse Races,,,,
,,,,,,,,,,,,,,,,,Juno'S Request Stakes,,,,Remington Park,,,,,,,,United States,USA,,,,OK,,,,,,,400,3U,Races || Futurity ,7/3/2012,1/1/2014,active,diamond,Quarter Horse Races,,,,
,,,,,,,,,,,,,,,,,Oklahoma Futurity,,,,Remington Park,,,,,,,,United States,USA,,,,OK,,,,,,,350,2yo,Races || Futurity ,7/3/2012,1/1/2014,active,diamond,Quarter Horse Races,,,,
,,,,,,,,,,,,,,,,,Remington Championship Challenge,,,,Remington Park,,,,,,,,United States,USA,,,,OK,,,,,,,440,3U,Races || Futurity ,7/3/2012,1/1/2014,active,diamond,Quarter Horse Races,,,,
,,,,,,,,,,,,,,,,,Decketta Handicap,,,,Remington Park,,,,,,,,United States,USA,,,,OK,,,,,,,350,3U,Races || Futurity ,7/3/2012,1/1/2014,active,diamond,Quarter Horse Races,,,,
,,,,,,,,,,,,,,,,,Paul'S Valley Handicap,,,,Remington Park,,,,,,,,United States,USA,,,,OK,,,,,,,870,3U,Races || Futurity ,7/3/2012,1/1/2014,active,diamond,Quarter Horse Races,,,,
